Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Visio Desktop: Tips and Tricks,"Microsoft Visio is a popular diagramming app that's used in a variety of industries. 
In this course, Visio MVP Scott Helmers provides insider tips and techniques for getting the most out of this powerful software. Scott begins with tips for navigating the Visio interface and customizing user options. He demonstrates how to master the use of text and annotations, including how to insert fields and annotate diagrams with comments and callouts. Scott offers strategies for working more efficiently with Visio, providing time-saving techniques for creating and refining diagrams. He shares Visio keyboard shortcuts for everything from using the drawing tools to manipulating shapes, and explains how to take control of the lines in your diagram by understanding the secrets of glue and connection points.",Course,2018-08-20 11:28 UTC,N/A,false,N/A,
Java Practice: Collections,"<p>Java is a versatile, object-oriented programming language that is designed to run on a wide variety of platforms. Any machine that has a Java Virtual Machine, or JVM, can run Java apps. For that reason, Java is commonly used in a wide range of applications, including web, mobile, and desktop. Many of the apps you know and love were likely written in Java! In this course, instructor Todd Perkins, who has developed more than a dozen popular apps and games, uses a series of practical challenges to test your knowledge of Java collections and improve your programming problem-solving skills.</p>
 
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2024-06-15 19:51 UTC,N/A,false,N/A,
Digital Marketing Foundations (2022),"Learn how to promote your brand or business effectively online and develop a targeted marketing strategy that engages potential customers across the digital landscape. In this course, Brad Batesole articulates today's digital marketing techniques—including how to build a successful online marketing campaign across channels: Search, social media, email, and display.
<br><br>
Learn how to build and connect with communities on social networks, the best practices for paid media, and discover what makes an email marketing campaign successful. This course also covers key digital marketing skills, like marketing analytics, content marketing, and customer engagement, as well as recommendations for expanding your digital marketing skill set. Upon completing this foundational digital marketing course, you'll be equipped with the essential skills and strategies to navigate today's digital landscape.",Course,2023-08-02 15:20 UTC,N/A,false,N/A,
Agile Software Development: Dealing with Legacy Code and Technical Debt,"In nearly every organization, developers are forced to grapple with old code that gets in the way of writing new features. Is legacy code limiting your development team's agility? If so, let this course be your guide for how to embrace a legacy system and improve it while paying down technical debt. Instructor Scott Ford explains how to review legacy code and fence in the technical debt by creating and running a test suite. He also demonstrates how to introduce dependency management and update dependences and tools, how to remove noise and distractions from your code, and how to keep technical debt at bay by remaining test driven and monitoring code quality.",Course,2023-09-05 11:07 UTC,N/A,false,N/A,
SQL Server Fundamentals: Master Basic Query Techniques,"Do you want to learn about SQL but aren’t sure where to start? In this beginner-level course, instructor Julianne Thouin covers basic concepts of relational database design and explains how to write simple SELECT statements using joins and proper filtering. Julianne explains what SQL Server is and what it is used for. Next, she shows how tables in a relational database relate to one another through surrogate, primary, and foreign keys. Julianne teaches you how to tackle the most basic query possible. She explains how AND and OR logic applies to filtering queries on more than one data point, then discusses INNER joins and OUTER joins. Julianne covers how to use subqueries for filtering your results. She walks you through some commonly used examples of built-in functions. In conclusion, Julianne shows you how aggregate functions work using the GROUP BY and HAVING clauses. Practice what you learn with hands-on challenges!",Course,2023-04-28 11:43 UTC,N/A,false,N/A,
Learning Python (2021),"<p>Python—the popular and highly-readable object-oriented language—is both powerful and relatively easy to learn. Whether you're new to programming or an experienced developer, this course can help you get started with Python. Joe Marini provides an overview of the installation process, basic Python syntax, and an example of how to construct and run a simple Python program. Learn to work with dates and times, read and write files, and retrieve and parse HTML, JSON, and XML data from the web.</p>
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/anaconda-python-for-data-science-professional-certificate"" target=""_blank"">Professional Certificate</a> from Anaconda.</p>",Course,2022-06-11 21:16 UTC,N/A,false,N/A,
Excel Supply Chain Analysis: Solving Transportation Problems,"<p>Microsoft Excel can be a secret advantage when it comes to solving complex supply chain challenges. Follow along with instructor Curt Frye as he shows how to use the Excel Solver add-in to minimize transportation and transshipment costs within a supply chain. Curt covers a range of topics, including how to analyze fixed costs and facility opening decisions, enforce level of service constraints, and perform scenario analysis. He also provides problem scenarios for you to solve, then goes through the solutions for each. After watching this course and working through the examples, you'll be able to describe the techniques specialized supply chain programs use to arrive at their results.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-transportation-professional-certificate?u=104"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2023-05-06 15:04 UTC,N/A,false,N/A,
Introduction to Artificial Intelligence (2023),"<p>Computer scientists are just a small slice of people working in artificial intelligence. Most of the people working in AI are project managers, product managers, directors, and executives. People just like you. This course helps you grasp key concepts in artificial intelligence. You’ll see how AI can enhance your products, life, and career. AI has been around for over half a century. Even with its huge strides, the core ideas in machine learning and neural networks are still accessible. </p><p> 
This course is designed for project managers, product managers, directors, executives, and students starting a career in AI. Get a high-level overview of the top tools in the field. First, see what it means for a system to display “intelligence.”  Then, learn algorithms and techniques involved in machine learning, artificial neural networks, and deep learning. Once simplified, AI looks less like magic and more like an exciting new set of technology tools. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/data-science-professional-certificate-by-knime"" target=""_blank"">Professional Certificate</a> from KNIME.</p>",Course,2024-01-31 08:08 UTC,N/A,false,N/A,
Learning Git and GitHub,"<div><a href=""https://www.linkedin.com/newsletters/6674822532509655040?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Ray's LinkedIn Newsletter</a></div><br>Version Control lets you manage changes you've made to files over time, and is an essential skill for developers to master. Git is by far the most popular version control system on the web. In this fast-paced course, Ray Villalobos shows you the fundamental commands that you need to work with most Git projects. He explains how to use checkpoints called commits, which let you leave messages documenting what happened at each checkpoint, as well as how to create branches that are alternate versions of your project that you can work on without changing the original. Ray also shows how to work with the popular GitHub website, going in depth with repositories and projects. Learn about pull requests, how to conduct a code review, and how to clone existing projects onto your local hard drive and use them as templates. Plus, learn about the social aspects of GitHub so you can get comments, opinions, and advice to help you refine your projects.",Course,N/A,N/A,true,N/A,
Nano Tips to Accelerate Your Goals with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.  In this installment, learn commonly overlooked, counterintuitive, and must-know tips that truly make a difference when it comes to achieving your goals, exploring key insights from peak performance researcher and behavioral strategist to Fortune 500 companies, Shadé Zahrai.  
<br><br>
Gleaned from research and global experience, Shadé explains the importance of setting goals aligned with your purpose for greater motivation, why you should break your bigger-picture goals into sub-goals, and the importance of setting milestones. She also imparts tips for increasing your chances of success and how to reignite your passion, confidence and goal-achieving momentum.",Course,2025-07-29 16:44 UTC,N/A,false,N/A,
Learning SAP Analytics Cloud,"Enterprises need ways to harness data to improve organizational outcomes, and ultimately to improve the quality of their products and services. SAP Analytics Cloud, part of the SAP Business Intelligence suite, allows you to analyze data from any industry-standard data source to make more data-driven, evidence-based decisions. In this course, you can learn how to use the Analytics Cloud to generate reports and look for data insights that can help your organization. Instructor Joshua Rischin explains how to create and manage data models, build reports and dashboards, and enhance your analysis with the artificial intelligence (AI) and machine learning features in SAP Analytics Cloud. No matter what kind of data you need to analyze—pricing or sales data, custom customer information, or inventory—SAP Analytics Cloud can help you turn your data into clear and actionable insights.",Course,2025-05-19 07:51 UTC,N/A,true,N/A,
Effective Listening,"<p>Listening is a critical competency, whether you are interviewing for your first job or leading a Fortune 500 company. Surprisingly, relatively few working professionals have ever had any formal training in how to listen effectively. In this course, communications experts Tatiana Kolovou and Brenda Bailey-Hughes show how to assess your current listening skills, understand the challenges to effective listening (such as distractions!), and develop behaviors that will allow you to become a better listener—and a better colleague, mentor, and friend. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/essential-business-communication-skills-professional-certificate-by-linkedin-learning"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2020-10-25 12:05 UTC,N/A,false,N/A,
Lighting for Photographers: Portraiture,"In this course, photographer and teacher Natalie Fobes introduces the techniques behind lighting for portraiture. Its begins with a look at the role of light in setting the mood of a portrait, and then looks at the essential gear photographers need for continuous-light portraiture. The techniques shown are also applicable to strobe lighting. Next, Natalie details a variety of common one-light and two-light lighting techniques, explaining exposure, metering considerations, and light modifiers along the way. The course concludes with several lighting tips, including minimizing physical challenges and do-it-yourself lighting gear instructions.",Course,2020-12-22 16:16 UTC,N/A,false,N/A,
Learning Markdown: Formatting Text without the Complexity,"<p>Markdown is a lightweight text format that allows you to create documents, rich text, or HTML markup using any plain text editor. It's easy to read, easy to write, and easy to convert into formats like PDF, Word, or HTML. It's fast becoming a standard for writers who want to focus on creating documents—not worrying about proprietary document formats.
</p><p> 
In this course, Ray Villalobos shows how to write common markdown syntax to create headlines, lists, tables, links, images, and block quotes.
 </p>",Course,N/A,N/A,true,N/A,
Planning Basics in SAP,"Planning and logistics are essential functions within every organization. This course from Michael Management gives you a high-level overview of the logistical planning functions in SAP.
The course explains the basics of forecasts and demand planning, then goes into supply and demand. This course introduces you to the benefits of MRP (material requirements planning) and RPP (reorder point planning). The course concludes with SAP demos that walk you through practical applications of the concepts that were introduced. 
<br><br>
Note: This course was created by Michael Management. We are pleased to host this training in our library.",Course,2022-03-10 11:40 UTC,N/A,false,N/A,
Tips to Boost Your Analytical Thinking,"Analytical thinking is an essential skill in just about every field or profession. In this course, Christina Stathopoulos guides you through the steps required to develop and master your analytical thinking skills. She shares quick, practical strategies to tap into higher-order thinking, boost analytical thinking with data, focus on the most effective data, and consider the most effective ways to measure and evaluate information that informs your decisions. Along the way, get tips on how to continue developing your analytical thinking by teaching others.",Course,N/A,N/A,true,N/A,
Data-Driven Learning Design,"Work skills are starting to have increasingly shorter shelf lives. Consequently, professionals of all stripes need access to high-quality learning and development (L&D) options that equip them with the skills they need to remain competitive. In this course, learn how L&D professionals can leverage the power of data to create learning content that more effectively helps learners upskill. Learn about the data-driven learning design process and how to build a data strategy of your own. Instructor Lori Niles discusses the importance of data analysis on learner behavior prior to solution design. She also details how marketing uses data—and how L&D professionals can apply some of those techniques to increase content consumption. Plus, learn how to make informed decisions when choosing a learning management system, leverage data to have more successful conversations with stakeholders, and start closing learning gaps at your organization.",Course,2025-10-02 09:47 UTC,N/A,false,N/A,
SAP ERP Essential Training (2018),"The SAP ERP, or enterprise resource planning, platform helps large businesses streamline their processes and support each segment of their business, from sales to financial accounting. In this course, instructor Justin Valley helps you get started with SAP ERP, going over key concepts and tips that can help you use this enterprise software most effectively. Justin goes over the difference between technical modules and functional modules in SAP and explores key SAP modules, including SAP project systems (PS) and SAP human capital management (HCM). He also goes over how to navigate inside SAP as an end user, use various search methods to find data, run and export reports from SAP, and more.",Course,2020-10-03 09:56 UTC,N/A,false,N/A,
Building Resilience as a Leader (2019),"Research tells us that resilience is one of the key attributes of successful leaders. Resilience can help you face challenges, navigate obstacles, and thrive in your role. But it can also help you lead your team and your business to bigger and better results. In this course, psychologist and executive coach Gemma Leigh Roberts helps you develop a resilient mindset, a resilient team, and a resilient organization that can weather risk and change. The tips and strategies Gemma offers are approachable and actionable—designed for busy leaders who need an extra edge to survive and thrive in challenging times.",Course,2020-12-31 13:10 UTC,N/A,false,N/A,
Career Wellness Nano Tips with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>In this course, get some quick tips on how to better manage your work life and career. Check out some practical advice on workload prioritization, emotional self-regulation, and managing overwhelming work experiences. Also learn how to bring empathy to work, receive feedback with confidence, and even find out the real reason behind procrastination.",Course,2022-04-20 06:54 UTC,N/A,false,N/A,
Intro to Service Management with ITIL® 4,"The ITIL® framework was designed to help all organizations, regardless of their industry or business sector, provide IT services using the most efficient and economical methods. This course was designed to introduce you to the concepts of service management and the ITIL® 4 framework to help you determine if studying for the ITIL® 4 Foundation certification is right for you. Instead of providing an in-depth look at each of the exam objectives, instructor Jason Dion provides a high-level overview of the ITIL® concepts and practices. If you continue onwards and obtain your certification, you can show employers that you understand the key elements, concepts, and terminology used in ITIL, including how operations move between each activity and process to create value in the service value system, and their overall contribution to the service management best practices.<br><br>This course was created by Dion Training, an Accredited Training Organization for ITIL® by PeopleCert on behalf of Axelos. ITIL® and the Swirl logo are registered trademarks of AXELOS Limited, used under license of AXELOS Limited. All rights reserved. We are pleased to offer this training in our library.",Course,2023-05-21 10:01 UTC,N/A,false,N/A,
Miss Excel’s Top Productivity Hacks,"Want to become an Excel power user? Follow along with Excel MVP Kat Norton, a.k.a. Miss Excel, as she introduces you to her favorite productivity hacks for cleaning, analyzing, and formatting data in Excel. These tips and tricks can save you hours each week and help you do more with your data. Kat covers the hottest topics in Excel including the new XLOOKUP function, dropdown menus, Flash Fill, and more.",Course,2022-04-27 13:39 UTC,N/A,false,N/A,
Connecting with Your Audience Using Video,"Learn about the power of video and how to use it to develop a strong online presence and connect with an audience. Appearing authentic on camera doesn’t come naturally to everyone, but there are techniques you can practice to become comfortable on camera. Instructor Jaime Cohen walks you through how to use video to create an effective online presence, how to become comfortable on camera, and how to connect with your audience. Jaime covers both the technical and performance aspects of cultivating a unique personal brand online through video.",Course,2021-12-31 07:26 UTC,N/A,false,N/A,
